source,target,start,end
ghettotech,ghettotech,1995,,
technobass,technobass,1986,,
technobass,ghettotech,1994,1995
moombahton,moombahton,2009,,
miamibass,miamibass,1985,,
miamibass,dirtysouthrap,1985,1986
miamibass,moombahton,2008,2009
dirtysouthrap,dirtysouthrap,1986,,
dirtysouthrap,southernrap,1986,1987
dirtysouthrap,crunk,1995,1996
crunk,crunk,1996,,
crunk,trap,2009,2010
trap,trap,2010,,
southernrap,southernrap,1987,,
southernrap,westcoastrap,1987,1988
southernrap,crunk,1995,1996
westcoastrap,westcoastrap,1988,,
westcoastrap,bling,1999,2000
bling,bling,2000,,
eastcoastrap,eastcoastrap,1988,,
eastcoastrap,southernrap,1986,1987
eastcoastrap,westcoastrap,1987,1988
eastcoastrap,bling,1999,2000
rap,rap,1979,,
rap,electro,1978,1981
rap,turntablism,1980,1981
rap,miamibass,1982,1985
rap,dirtysouthrap,1983,1986
rap,dancehall,1984,1985
rap,eastcoastrap,1985,1986
dancehall,dancehall,1985,,
dancehall,consciousrap,1988,1989
consciousrap,consciousrap,1989,,
consciousrap,themedrap,1992,1992
themedrap,themedrap,1992,,
turntablism,turntablism,1982,,
freestyle,freestyle,1983,,
freestyle,floridabreaks,1994,1995
floridabreaks,floridabreaks,1995,,
electro,electro,1981,,
electro,turntablism,1981,1982
electro,freestyle,1982,1983
electro,floridabreaks,1994,1995
electro,detroittechno,1981,1982
minimaltechno,minimaltechno,1992,,
dubtechno,dubtechno,1993,,
bangintechno,bangintechno,1995,,
detroittechno,detroittechno,1981,,
detroittechno,bleeptechno,1988,1989
detroittechno,eurotechno,1988,1989
detroittechno,minimaltechno,1990,1992
detroittechno,dubtechno,1992,1993
detroittechno,bangintechno,1994,1995
bleeptechno,bleeptechno,1989,,
bleeptechno,hardtechno,1992,1993
hardtechno,hardtechno,1993,,
hardtechno,experimentaltechno,1998,1999
hardtechno,schranz,1999,2000
schranz,schranz,2000,,
experimentaltechno,experimentaltechno,2000,,
eurotechno,eurotechno,1989,,
eurotechno,rave,1989,1990
eurotechno,hardcore,1989,1990
rave,rave,1990,,
speedcore,speedcore,2000,,
speedcore,
hardcore,hardcore,1990,,
hardcore,happyhardcore,1991,1993
hardcore,speedcore,1999,2000
ukhardcore,ukhardcore,2003,,
freeform,freeform,2000,,
freeform,ukhardcore,2002,2003
happyhardcore,happyhardcore,1993,,
happyhardcore,freeform,1999,2000

oldskoolravehardcore,oldskoolravehardcore,1990,,
oldskoolravehardcore,
atmosphericjungle,atmosphericjungle,1993,,
atmosphericjungle,
jazzstep,jazzstep,1994,,
jazzstep,
liquidfunk,liquidfunk,2000,,
liquidfunk,
darkside,darkside,1992,,
darkside,
microfunk,microfunk,2005,,
microfunk,
techstep,techstep,1995,,
techstep,
neurofunk,neurofunk,1998,,
neurofunk,
darkstep,darkstep,1997,,
darkstep,
drumstep,drumstep,2008,,
drumstep,
pendulum,pendulum,2004,,
pendulum,
jumpup,jumpup,1994,,
jumpup,
raggajungle,raggajungle,1992,,
raggajungle,
progressivebreaks,progressivebreaks,1997,,
progressivebreaks,
breaks,breaks,1987,,
breaks,
chemicalbreaks,chemicalbreaks,1993,,
chemicalbreaks,
bigbeat,bigbeat,1995,,
bigbeat,
nuskoolbreaks,nuskoolbreaks,1999,,
nuskoolbreaks,
freelandbreaks,freelandbreaks,2001,,
freelandbreaks,
hardacid,hardacid,1991,,
hardacid,
acid,acid,1988,,
acid,
acidhouse,acidhouse,1986,,
acidhouse,
chicagohouse,chicagohouse,1984,,
chicagohouse,
hardhouse,hardhouse,1994,,
hardhouse,
hiphouse,hiphouse,1987,,
hiphouse,
italohouse,italohouse,1988,,
italohouse,
discohouse,discohouse,1990,,
discohouse,
frenchhouse,frenchhouse,1995,,
frenchhouse,
electrohouse,electrohouse,2002,,
electrohouse,
worldhouse,worldhouse,1990,,
worldhouse,
eurohouse,eurohouse,1989,,
eurohouse,
ukhouse,ukhouse,1986,,
ukhouse,
minimaltech,minimaltech,2002,,
minimaltech,
microhouse,microhouse,1997,,
microhouse,
techhouse,techhouse,1994,,
techhouse,
fidgethouse,fidgethouse,1999,,
fidgethouse,
deeptech,deeptech,1999,,
deeptech,
minimalprog,minimalprog,2004,,
minimalprog,
progressive,progressive,1995,,
progressive,
8thnoteprog,8thnoteprog,2007,,
8thnoteprog,
mcprog,mcprog,2000,,
mcprog,
twinkleprog,twinkleprog,1999,,
twinkleprog,
progressivehouse,progressivehouse,1990,,
progressivehouse,
eurodeephouse,eurodeephouse,1989,,
eurodeephouse,
usdeephouse,usdeephouse,1986,,
usdeephouse,
garage,garage,1979,,
garage,
speedgarage,speedgarage,1994,,
speedgarage,
brostep,brostep,2008,,
brostep,
dubstep,dubstep,2002,,
dubstep,
futuregarage,futuregarage,2006,,
futuregarage,
grime,grime,2000,,
grime,
2-stepgarage,2-stepgarage,1998,,
2-stepgarage,
r&b,r&b,1979,,
r&b,
reggaeton,reggaeton,2002,,
reggaeton,
soul,soul,1987,,
soul,
newjackswing,newjackswing,1986,,
newjackswing,
funk,funk,1972,,
funk,
nujazz,nujazz,1993,,
nujazz,
acidjazz,acidjazz,1986,,
acidjazz,
downtempo,downtempo,1990,,
downtempo,
triphop,triphop,1994,,
triphop,
dub,dub,1972,,
dub,
indie,indie,1991,,
indie,
chillout,chillout,1977,,
chillout,
worldbeat,worldbeat,1982,,
worldbeat,
newage,newage,1976,,
newage,
ambient,ambient,1977,,
ambient,
darkambient,darkambient,1982,,
darkambient,
drone,drone,1983,,
drone,
fm,fm,1984,,
fm,
chiptune,chiptune,1980,,
chiptune,
amiga%2ftracker,amiga%2ftracker,1985,,
amiga%2ftracker,
fakebit,fakebit,1990,,
fakebit,
plus,plus,1987,,
plus,
moog,moog,1967,,
moog,
soundtrack,soundtrack,1956,,
soundtrack,
modernclassical,modernclassical,1965,,
modernclassical,
braindance,braindance,1993,,
braindance,
ambienttechno,ambienttechno,1990,,
ambienttechno,
experimental,experimental,1952,,
experimental,
noise,noise,1961,,
noise,
collage,collage,1956,,
collage,
industrial,industrial,1979,,
industrial,
aggrotech,aggrotech,1997,,
aggrotech,
industrialrock,industrialrock,1986,,
industrialrock,
ethereal,ethereal,1984,,
ethereal,
darkwave,darkwave,1980,,
darkwave,
newbeat,newbeat,1987,,
newbeat,
futurepop,futurepop,1994,,
futurepop,
ebm,ebm,1981,,
ebm,
psydub,psydub,1993,,
psydub,
goatrance,goatrance,1991,,
goatrance,
psychedelictrance,psychedelictrance,1995,,
psychedelictrance,
darkpsy,darkpsy,1998,,
darkpsy,
fullon,fullon,1997,,
fullon,
progpsy,progpsy,1996,,
progpsy,
dreamtrance,dreamtrance,1993,,
dreamtrance,
balearictrance,balearictrance,1991,,
balearictrance,
trance,trance,1989,,
trance,
neotrance,neotrance,2005,,
neotrance,
progressivetrance,progressivetrance,1994,,
progressivetrance,
techtrance,techtrance,1998,,
techtrance,
nrg,nrg,1995,,
nrg,
ukhardhouse,ukhardhouse,1995,,
ukhardhouse,
jumpstyle,jumpstyle,1998,,
jumpstyle,
hardstyle,hardstyle,1999,,
hardstyle,
hardtrance,hardtrance,1997,,
hardtrance,
germantrance,germantrance,1992,,
germantrance,
eurotrance,eurotrance,1995,,
eurotrance,
anthemhouse,anthemhouse,1991,,
anthemhouse,
dutchhouse,dutchhouse,2008,,
dutchhouse,
vocaltrance,vocaltrance,1997,,
vocaltrance,
handsup,handsup,2001,,
handsup,
eurodance,eurodance,1992,,
eurodance,
nuitalo,nuitalo,1998,,
nuitalo,
asianpop,asianpop,1991,,
asianpop,
eurobeat,eurobeat,1987,,
eurobeat,
italodisco,italodisco,1979,,
italodisco,
spacesynth,spacesynth,1977,,
spacesynth,
synthwave,synthwave,2003,,
synthwave,
synthpop,synthpop,1978,,
synthpop,
hinrg,hinrg,1977,,
hinrg,
electroclash,electroclash,1997,,
electroclash,
filthyelectrohouse,filthyelectrohouse,2002,,
filthyelectrohouse,
dancepunk,dancepunk,1998,,
dancepunk,
