source,target,start,end
breaks,oldskoolravehardcore,1987,1990
breaks,chemicalbreaks,1992,1993
breaks,progressivebreaks,1996,1997
chemicalbreaks,chemicalbreaks,1993,2019
chemicalbreaks,bigbeat,1994,1995
bigbeat,bigbeat,1995,2019
bigbeat,nuskoolbreaks,1998,1999
nuskoolbreaks,nuskoolbreaks,1999,2019
nuskoolbreaks,freelandbreaks,2000,2001
freelandbreaks,freelandbreaks,2001,2019
hardacid,hardacid,1991,2019
acid,acid,1988,2019
acid,hardacid,1990,1991
acidhouse,acidhouse,1986,2019
acidhouse,breaks,1986,1987
acidhouse,acid,1987,1988
chicagohouse,chicagohouse,1984,2019
chicagohouse,usdeephouse,1984,1986
chicagohouse,ukhouse,1984,1986
chicagohouse,acidhouse,1985,1986
chicagohouse,hiphouse,1986,1987
chicagohouse,hardhouse,1993,1994
hardhouse,hardhouse,1994,2019
hardhouse,italohouse,1987,1988
hiphouse,hiphouse,1987,2019
italohouse,italohouse,1988,2019
italohouse,eurohouse,1988,1989
italohouse,discohouse,1989,1990
discohouse,discohouse,1990,2019
discohouse,frenchhouse,1994,1995
frenchhouse,frenchhouse,1995,2019
frenchhouse,electrohouse,2001,2002
electrohouse,electrohouse,2002,2019
worldhouse,worldhouse,1990,2019
eurohouse,eurohouse,1989,2019
eurohouse,worldhouse,1989,1990
ukhouse,ukhouse,1986,2019
ukhouse,eurohouse,1988,1989
ukhouse,progressivehouse,1986,1990
ukhouse,techhouse,1992,1994
minimaltech,minimaltech,2002,2019
microhouse,microhouse,1997,2019
microhouse,minimaltech,2001,2002
techhouse,techhouse,1994,2019
techhouse,progressive,1994,1995
techhouse,microhouse,1996,1997
techhouse,fidgethouse,1998,1999
techhouse,deeptech,1998,1999
fidgethouse,fidgethouse,1999,2019
deeptech,deeptech,1999,2019
minimalprog,minimalprog,2004,2019
progressive,progressive,1995,2019
progressive,minimalprog,2003,2004
8thnoteprog,8thnoteprog,2007,2019
mcprog,mcprog,2000,2019
mcprog,8thnoteprog,2006,2007
twinkleprog,twinkleprog,1999,2019
twinkleprog,mcprog,1999,2000
